Time(s),LINEAR ACCELERATION X (m/s2),LINEAR ACCELERATION Y (m/s2),LINEAR ACCELERATION Z (m/s2)
81009,-0.4875,0.0156,-0.141
81510,0.1145,-0.0567,0.2592
82009,0.1147,-0.0049,-0.0259
82510,0.0487,-0.2296,-0.0591
83010,0.0453,0.0775,0.0681
83510,-0.0697,0.174,0.3547
84010,-0.0304,0.0231,-0.0204
84509,0.0616,-0.0492,-0.0125
85010,-0.0286,0.0116,-0.0115
85510,-0.0255,0.0091,0.0081
86009,0.0327,-0.0116,-0.0127
86510,0.0705,0.0151,0.1136
87009,0.014,-0.0029,0.0071
87510,0.0498,-0.0042,-0.0205
88009,0.0227,0.0181,0.0601
88509,0.0125,-0.0117,-0.0081
89009,0.1017,-0.0588,-0.2164
89509,-0.0885,0.1453,-0.2331
90010,-0.0481,0.0367,0.2141
90509,-0.2959,0.1926,0.0668
91011,0.2086,-0.0901,-0.1031
91510,0.3937,0.0024,-0.1477
92009,-0.115,0.3756,1.023
92510,0.2676,-2.0941,-4.2212
93009,0.3706,-1.8463,-0.2481
93509,0.0165,-0.014,-0.0446
94009,0.0118,-6.00E-04,-0.0161
94512,-0.0198,-0.0143,-0.049
95010,3.00E-04,0.015,0.002
95510,-0.0025,-0.016,-0.0044
96010,-0.008,-0.0152,-0.004
96509,-0.0089,-0.0177,-6.00E-04
97010,-0.0061,0.0056,0.0017
97510,-0.0055,-0.0248,0.0026
98009,0.0082,0.0053,-0.002
98511,-0.0032,-0.0054,-0.0022
99009,0.0091,-0.0054,0.0068
99509,-0.0127,-0.0099,0.0081
100010,2.5465,2.0004,-2.4123
100510,-0.1056,0.0559,-0.1571
101012,-0.0202,0.0529,0.0135
101511,-0.0119,0.0067,0.0041
102013,-0.0075,0.0052,0.0017
102512,0.0127,-0.0076,-0.0108
103009,0.0185,-0.0105,-0.0026
103511,-0.0043,0.0179,-0.0022
104009,-2.00E-04,0.0325,-0.0272
104510,0.3836,0.2529,-0.002
105010,-0.0377,0.0329,0.0064
105512,-0.0139,0.0166,6.00E-04
106011,-0.0059,0.0109,-3.00E-04
106512,0.0026,0.0186,-0.004
107012,0.0023,0.0148,-0.001
107512,0.012,0.0312,-0.0063
108010,0.01,0.0295,0.0067
108510,0.146,0.0797,0.0142
109009,-0.0311,-0.0273,-0.0057
109510,0.0021,0.0273,-0.0044
110011,-0.0093,-0.0113,-0.0218
110511,0.0046,0.013,-0.0062
111010,-0.006,-0.005,-0.0029
111511,-0.0029,0.0026,0.0027
112011,0.01,0.0185,0.0105
112510,0.0027,0.001,0.0037
113010,0.015,0.0056,-0.0051
113511,-0.0164,-0.0408,-0.0133
114010,0.0284,0.0428,-0.007
114510,-0.0275,-0.0256,0.0106
115012,0.0192,0.0078,0.0016
115510,-0.0233,-0.0407,0.0033
116012,0.0373,0.0201,1.00E-04
116510,-0.0056,-0.01,-3.00E-04
117012,0.0102,0.0095,0.0029
117512,-0.0429,-0.0286,0.0018
